,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 NNStonekeep,0,0,1,2,0,0,0,0,0,0,0,2,0,2,0,0,2,1,1
2,3,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,30,30,P2 NNStonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,1
4,5,30,30,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,1
5,6,30,30,P2 NNStonekeep,0,0,1,1,0,0,0,0,0,0,1,1,0,3,0,0,5,3,1
6,7,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1
7,8,30,30,P2 NNStonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,4,5,0,1
8,9,30,30,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,8,5,1
9,10,30,30,P2 NNStonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,0,10,5,1
10,11,30,30,P1 Orasha,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,1,13,5,1
11,12,27,25,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,0,1,1,0,4,1,0,16,6,1
12,13,27,21,P1 Orasha,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,19,6,1
13,14,30,19,P2 NNStonekeep,0,0,3,2,0,0,0,0,0,0,1,2,0,6,2,3,20,4,1
14,15,30,17,P1 Orasha,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,27,8,1
15,16,30,15,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,6,3,6,22,2,1
16,17,30,4,P1 Orasha,0,0,7,2,0,0,0,3,0,1,0,5,0,1,0,0,36,9,1
17,18,30,2,P2 NNStonekeep,0,0,4,1,0,0,0,0,0,0,0,1,0,7,4,4,27,5,1
18,19,30,-5,P1 Orasha,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,10,36,0,1
19,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
20,2,30,28,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,2
21,3,30,28,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
22,4,30,26,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,2
23,5,30,26,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
24,6,30,24,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,1,6,2,2
25,7,30,24,P1 Orasha,0,0,6,2,0,0,0,0,0,1,0,2,0,1,0,0,4,4,2
26,8,30,22,P2 NNStonekeep,0,0,2,2,0,0,0,0,0,0,0,2,0,3,4,0,10,4,2
27,9,28,22,P1 Orasha,0,0,2,1,0,0,0,0,1,1,1,1,0,1,1,0,9,5,2
28,10,28,20,P2 NNStonekeep,0,0,2,1,0,0,1,0,0,1,0,1,0,3,5,0,15,5,2
29,11,28,18,P1 Orasha,0,0,1,1,0,0,0,1,0,1,0,2,0,1,1,1,14,5,2
30,12,30,16,P2 NNStonekeep,0,0,2,1,0,1,0,1,0,0,1,2,0,4,6,2,19,4,2
31,13,30,16,P1 Orasha,2,0,6,2,0,0,0,0,0,1,0,2,0,2,2,0,21,7,2
32,14,30,16,P2 NNStonekeep,0,0,1,2,0,0,1,1,0,2,1,3,0,4,6,0,26,7,2
33,15,30,16,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,2,2,3,26,5,2
34,16,30,14,P2 NNStonekeep,0,0,2,1,0,1,0,3,0,1,2,4,0,4,7,1,33,7,2
35,17,30,14,P1 Orasha,0,0,1,1,0,0,0,0,0,1,4,1,0,2,2,2,33,7,2
36,18,30,12,P2 NNStonekeep,0,0,2,2,0,0,0,0,0,1,1,2,0,5,8,0,42,9,2
37,19,30,12,P1 Orasha,2,0,2,1,0,0,0,1,0,1,0,2,0,2,3,3,40,7,2
38,20,30,12,P2 NNStonekeep,0,0,1,2,0,0,0,1,0,2,1,3,0,5,8,0,52,10,2
39,21,30,12,P1 Orasha,0,0,1,2,0,0,0,0,0,1,5,2,0,3,3,2,48,8,2
40,22,30,10,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,1,1,1,0,5,9,2,60,8,2
41,23,28,10,P1 Orasha,0,0,2,1,0,0,0,0,0,1,0,1,0,3,4,1,57,9,2
42,24,28,10,P2 NNStonekeep,0,0,1,3,0,0,0,1,0,1,0,4,0,7,9,0,70,10,2
43,25,28,5,P1 Orasha,0,0,1,2,0,0,0,1,0,2,0,5,0,3,4,0,67,10,2
44,26,24,12,P2 NNStonekeep,7,0,1,2,0,0,0,4,1,1,4,6,0,8,9,0,80,10,2
45,27,24,12,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,3,4,1,76,9,2
46,28,14,12,P2 NNStonekeep,0,0,2,4,0,0,0,3,2,1,5,7,0,11,9,0,90,10,2
47,29,15,12,P1 Orasha,0,0,1,2,0,0,0,0,0,2,0,2,0,3,4,0,86,10,2
48,30,5,10,P2 NNStonekeep,0,0,2,1,0,0,0,2,1,0,2,3,0,12,10,4,96,6,2
49,31,5,10,P1 Orasha,0,0,1,2,0,0,0,1,1,1,3,3,0,4,4,0,96,10,2
50,32,5,5,P2 NNStonekeep,0,0,0,1,0,0,0,0,0,0,1,1,0,13,11,0,106,10,2
51,33,15,2,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,2,0,4,4,1,105,9,2
52,34,15,-1,P2 NNStonekeep,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,10,106,0,2
53,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
54,2,30,30,P2 NNStonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
55,3,30,30,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,3
56,4,30,30,P2 NNStonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
57,5,30,30,P1 Orasha,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,2,0,3
58,6,30,30,P2 NNStonekeep,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,4,3,3
59,7,30,30,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,5,3,3
60,8,30,30,P2 NNStonekeep,0,0,1,1,0,0,0,1,0,0,1,2,0,2,0,1,7,3,3
61,9,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,3
62,10,26,30,P2 NNStonekeep,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,0,12,5,3
63,11,30,30,P1 Orasha,4,0,6,2,0,0,0,0,0,1,0,2,0,1,0,0,11,6,3
64,12,26,30,P2 NNStonekeep,0,0,1,1,0,0,0,2,0,1,1,3,0,2,0,1,17,5,3
65,13,29,30,P1 Orasha,3,0,1,1,0,0,0,1,0,1,1,2,0,1,0,2,16,5,3
66,14,26,28,P2 NNStonekeep,0,0,2,1,0,0,0,2,0,1,1,3,0,2,1,0,24,7,3
67,15,26,28,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,3,21,5,3
68,16,26,28,P2 NNStonekeep,0,0,1,3,0,0,0,3,0,1,1,6,0,4,1,0,32,8,3
69,17,24,28,P1 Orasha,0,0,2,1,0,0,0,0,0,1,0,1,0,1,1,0,30,9,3
70,18,12,29,P2 NNStonekeep,3,0,2,2,0,0,0,4,0,0,1,6,0,6,2,0,41,9,3
71,19,12,29,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,2,38,8,3
72,20,0,29,P2 NNStonekeep,0,0,1,1,0,0,0,3,0,1,0,4,0,6,2,5,46,5,3
73,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
74,2,30,28,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,4
75,3,30,28,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4
76,4,30,26,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,4
77,5,30,26,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,4
78,6,30,24,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,1,6,2,4
79,7,30,22,P1 Orasha,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,7,4,4
80,8,30,22,P2 NNStonekeep,0,0,1,1,0,0,1,0,0,1,0,1,0,1,3,1,9,3,4
81,9,30,17,P1 Orasha,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,2,10,3,4
82,10,30,19,P2 NNStonekeep,4,0,4,1,0,1,0,1,0,0,1,2,0,2,4,0,14,5,4
83,11,30,19,P1 Orasha,0,0,1,1,0,0,0,2,2,1,3,3,0,0,0,1,15,5,4
84,12,30,17,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,2,5,4,16,2,4
85,13,28,13,P1 Orasha,0,0,2,1,0,0,0,1,0,1,0,2,0,0,1,2,20,5,4
86,14,30,11,P2 NNStonekeep,0,0,3,2,0,0,0,0,0,0,1,2,0,4,6,1,22,6,4
87,15,30,9,P1 Orasha,0,0,1,1,0,0,0,1,0,1,0,2,0,0,1,3,25,5,4
88,16,30,7,P2 NNStonekeep,0,0,2,2,0,0,0,0,0,1,0,2,0,5,7,0,30,8,4
89,17,30,5,P1 Orasha,0,0,1,2,0,0,0,1,0,2,0,3,0,0,1,1,33,8,4
90,18,30,5,P2 NNStonekeep,0,0,1,2,0,0,0,1,0,1,4,3,0,6,7,0,39,9,4
91,19,30,5,P1 Orasha,0,0,4,2,0,0,0,1,0,1,1,3,0,1,1,0,43,10,4
92,20,30,3,P2 NNStonekeep,3,0,3,1,0,0,0,0,0,0,1,1,0,7,8,2,47,8,4
93,21,30,3,P1 Orasha,0,0,1,0,0,0,0,0,1,0,2,0,0,1,1,10,43,0,4
94,22,30,0,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,7,8,10,47,0,4
95,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
96,2,30,28,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,5
97,3,30,28,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,5
98,4,30,28,P2 NNStonekeep,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,5
99,5,30,28,P1 Orasha,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,5,3,5
100,6,30,28,P2 NNStonekeep,0,0,1,1,0,0,0,0,0,0,0,1,0,2,2,1,6,2,5
101,7,30,27,P1 Orasha,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,8,3,5
102,8,30,25,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,2,3,2,8,2,5
103,9,30,22,P1 Orasha,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,3,10,2,5
104,10,30,20,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,1,0,1,0,2,4,1,12,4,5
105,11,30,20,P1 Orasha,0,0,1,0,0,0,0,0,3,0,4,0,0,0,0,6,10,0,5
106,12,30,18,P2 NNStonekeep,0,0,2,1,0,0,1,0,0,1,0,1,0,2,5,1,17,5,5
107,13,30,18,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,17,7,5
108,14,30,16,P2 NNStonekeep,0,0,2,1,0,1,1,1,0,1,1,2,0,2,6,2,22,5,5
109,15,30,13,P1 Orasha,3,0,3,2,0,0,0,0,0,0,1,2,0,2,0,1,24,7,5
110,16,22,11,P2 NNStonekeep,0,0,2,2,0,1,0,1,0,1,0,3,0,3,7,0,30,8,5
111,17,20,11,P1 Orasha,0,0,2,1,0,0,0,0,0,1,0,1,0,2,1,2,31,7,5
112,18,20,11,P2 NNStonekeep,0,0,1,2,0,0,0,2,0,2,1,4,0,3,7,0,39,9,5
113,19,20,11,P1 Orasha,0,0,6,3,0,0,0,0,0,1,1,3,0,4,1,0,41,10,5
114,20,12,9,P2 NNStonekeep,0,0,2,2,0,0,0,3,0,1,1,5,0,4,8,0,49,10,5
115,21,12,9,P1 Orasha,0,0,1,5,0,0,0,0,0,5,0,5,0,4,1,0,51,10,5
116,22,0,7,P2 NNStonekeep,0,0,2,1,0,0,0,5,0,1,5,6,0,4,9,2,57,8,5
117,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
118,2,30,30,P2 NNStonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
119,3,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6
120,4,30,28,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,6
121,5,30,28,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,6
122,6,30,28,P2 NNStonekeep,0,0,1,3,0,0,0,0,0,0,0,3,0,3,1,0,6,3,6
123,7,28,26,P1 Orasha,0,0,2,1,0,0,0,1,0,1,0,2,0,0,1,0,7,4,6
124,8,28,24,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,3,2,2,8,2,6
125,9,30,24,P1 Orasha,2,0,3,1,0,0,0,0,2,0,2,1,0,1,1,2,10,3,6
126,10,30,22,P2 NNStonekeep,0,0,2,1,0,0,1,0,0,1,0,1,0,3,3,0,13,5,6
127,11,30,22,P1 Orasha,0,0,6,2,0,0,0,0,0,1,0,2,0,2,1,1,15,5,6
128,12,30,20,P2 NNStonekeep,0,0,2,1,0,1,0,1,0,1,1,2,0,3,4,0,19,6,6
129,13,30,20,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,2,20,5,6
130,14,30,18,P2 NNStonekeep,0,0,2,1,0,0,1,2,0,1,1,3,0,3,5,2,24,5,6
131,15,30,18,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,4,24,4,6
132,16,14,16,P2 NNStonekeep,0,0,2,0,0,1,0,3,0,0,1,3,0,3,6,6,26,2,6
133,17,14,16,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,2,31,7,6
134,18,-2,16,P2 NNStonekeep,0,0,1,1,0,0,0,2,0,1,1,3,0,3,6,4,31,5,6
135,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
136,2,30,28,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,7
137,3,30,28,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7
138,4,30,28,P2 NNStonekeep,0,0,1,1,0,0,0,0,0,0,0,1,0,2,1,0,4,2,7
139,5,30,28,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7
140,6,30,26,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,1,6,2,7
141,7,30,26,P1 Orasha,0,0,7,2,0,0,0,0,0,1,0,2,0,1,0,0,4,4,7
142,8,30,24,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,0,0,1,0,3,3,1,9,3,7
143,9,30,24,P1 Orasha,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,2,7,3,7
144,10,30,22,P2 NNStonekeep,0,0,2,1,0,0,1,0,0,1,0,1,0,3,4,0,14,5,7
145,11,30,20,P1 Orasha,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,13,6,7
146,12,30,20,P2 NNStonekeep,0,0,3,2,0,1,1,1,0,1,1,3,0,4,4,0,20,6,7
147,13,30,14,P1 Orasha,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,2,18,5,7
148,14,30,12,P2 NNStonekeep,0,0,2,1,0,1,0,2,0,1,2,3,0,4,5,0,27,7,7
149,15,27,9,P1 Orasha,0,0,2,3,0,0,0,0,0,0,3,3,0,4,0,2,24,6,7
150,16,27,7,P2 NNStonekeep,0,0,2,2,0,0,0,0,0,1,0,2,0,5,6,0,35,8,7
151,17,30,7,P1 Orasha,3,0,3,2,0,0,0,0,0,1,0,2,0,5,0,4,29,5,7
152,18,27,4,P2 NNStonekeep,0,0,1,2,0,0,0,1,0,1,1,3,0,6,6,0,44,9,7
153,19,25,4,P1 Orasha,0,0,3,3,0,0,0,0,0,1,2,3,0,7,1,0,39,10,7
154,20,25,2,P2 NNStonekeep,0,0,2,2,0,0,0,0,0,1,1,2,0,7,7,0,54,10,7
155,21,22,-1,P1 Orasha,0,0,1,1,0,0,0,0,0,0,0,1,0,8,1,6,43,4,7
156,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
157,2,30,30,P2 NNStonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
158,3,30,30,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,8
159,4,30,28,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,8
160,5,30,28,P1 Orasha,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,5,3,8
161,6,30,28,P2 NNStonekeep,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,5,3,8
162,7,30,28,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,8
163,8,30,30,P2 NNStonekeep,4,0,4,2,0,0,0,0,0,0,0,2,0,3,2,0,10,4,8
164,9,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,8
165,10,30,28,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,3,3,3,12,2,8
166,11,30,28,P1 Orasha,0,0,6,2,0,0,0,0,0,1,0,2,0,1,0,1,10,5,8
167,12,27,23,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,0,0,1,0,4,4,0,18,6,8
168,13,25,21,P1 Orasha,0,0,6,2,0,0,0,1,0,1,0,3,0,2,1,0,17,7,8
169,14,25,19,P2 NNStonekeep,0,0,2,2,0,0,0,0,0,0,0,2,0,6,5,2,23,5,8
170,15,25,19,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,8,17,0,8
171,16,25,17,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,1,0,1,0,6,6,1,30,7,8
172,17,25,17,P1 Orasha,0,0,1,2,0,0,0,0,2,1,3,2,0,3,1,1,25,8,8
173,18,25,15,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,1,1,1,0,6,7,1,38,8,8
174,19,25,15,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,3,1,0,35,10,8
175,20,23,16,P2 NNStonekeep,3,0,2,1,0,0,0,1,0,0,1,2,0,7,8,2,46,8,8
176,21,23,16,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,3,1,3,42,7,8
177,22,23,14,P2 NNStonekeep,0,0,2,1,0,0,0,1,1,1,2,2,0,7,9,1,55,9,8
178,23,17,8,P1 Orasha,0,0,1,2,0,0,0,0,0,0,1,2,0,5,1,2,50,8,8
179,24,17,6,P2 NNStonekeep,0,0,2,2,0,0,1,0,0,2,0,2,0,7,10,0,65,10,8
180,25,17,6,P1 Orasha,0,0,1,2,0,0,0,0,0,1,1,2,0,6,1,1,59,9,8
181,26,17,4,P2 NNStonekeep,0,0,2,2,0,1,0,1,0,1,1,3,0,8,11,0,75,10,8
182,27,17,4,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,10,59,0,8
183,28,17,0,P2 NNStonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,8,11,10,75,0,8
184,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9
185,2,30,30,P2 NNStonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9
186,3,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9
187,4,30,30,P2 NNStonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9
188,5,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9
189,6,30,30,P2 NNStonekeep,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,4,3,9
190,7,30,30,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,9
191,8,26,30,P2 NNStonekeep,0,0,1,1,0,0,0,1,0,0,1,2,0,2,0,1,7,3,9
192,9,26,30,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,9,5,9
193,10,26,30,P2 NNStonekeep,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,0,12,5,9
194,11,30,30,P1 Orasha,4,0,1,1,0,0,0,2,1,1,3,3,0,0,0,1,14,5,9
195,12,30,30,P2 NNStonekeep,0,0,1,1,0,0,1,0,0,1,0,1,0,2,0,0,18,6,9
196,13,30,27,P1 Orasha,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,7,14,0,9
197,14,22,27,P2 NNStonekeep,0,0,1,1,0,1,0,1,0,1,1,2,0,2,0,0,25,7,9
198,15,16,21,P1 Orasha,0,0,1,2,0,0,0,0,0,0,2,2,0,2,0,0,22,8,9
199,16,16,19,P2 NNStonekeep,0,0,2,2,0,0,0,0,0,1,0,2,0,3,1,0,33,8,9
200,17,16,19,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,1,30,8,9
201,18,16,22,P2 NNStonekeep,3,0,1,2,0,0,0,1,0,0,2,3,0,5,1,0,42,9,9
202,19,18,22,P1 Orasha,4,0,3,3,0,0,0,0,0,1,1,3,0,4,1,2,38,8,9
203,20,15,17,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,0,0,1,0,6,2,4,48,6,9
204,21,13,17,P1 Orasha,0,0,2,1,0,0,0,0,1,1,1,1,0,4,2,5,43,5,9
205,22,13,17,P2 NNStonekeep,0,0,1,2,0,0,0,0,0,2,0,2,0,6,2,0,58,10,9
206,23,11,15,P1 Orasha,0,0,2,2,0,0,0,1,0,2,0,3,0,4,3,1,52,9,9
207,24,-1,13,P2 NNStonekeep,0,0,2,1,0,0,0,6,0,1,3,7,0,6,3,2,66,8,9
208,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10
209,2,30,30,P2 NNStonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10
210,3,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10
211,4,30,30,P2 NNStonekeep,0,0,3,2,0,0,0,0,0,0,0,2,0,2,0,0,3,2,10
212,5,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10
213,6,30,28,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,1,5,2,10
214,7,30,28,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,10
215,8,30,28,P2 NNStonekeep,0,0,1,1,0,0,0,0,0,0,1,1,0,3,1,1,8,3,10
216,9,30,28,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,9,5,10
217,10,30,28,P2 NNStonekeep,0,0,1,1,0,0,1,0,0,1,0,1,0,3,1,0,13,5,10
218,11,30,28,P1 Orasha,0,0,1,2,0,0,0,2,1,1,2,4,0,1,0,0,15,6,10
219,12,27,23,P2 NNStonekeep,0,0,2,1,0,1,0,0,0,0,1,1,0,4,2,0,19,6,10
220,13,30,23,P1 Orasha,3,0,6,3,0,0,0,0,0,1,0,3,0,3,0,1,21,6,10
221,14,30,21,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,4,3,5,21,2,10
222,15,30,21,P1 Orasha,0,0,1,0,0,0,0,0,1,0,1,0,0,3,0,8,21,0,10
223,16,30,19,P2 NNStonekeep,0,0,2,2,0,0,0,0,0,1,0,2,0,5,4,0,29,8,10
224,17,27,16,P1 Orasha,0,0,1,2,0,0,0,0,0,0,1,2,0,5,0,4,26,5,10
225,18,27,14,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,1,0,1,0,5,5,2,36,7,10
226,19,27,14,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,5,0,2,34,8,10
227,20,27,12,P2 NNStonekeep,0,0,2,3,0,0,0,1,0,1,0,4,0,7,6,0,46,10,10
228,21,27,11,P1 Orasha,0,0,1,1,0,0,0,1,0,0,1,2,0,6,0,9,35,1,10
229,22,23,9,P2 NNStonekeep,0,0,2,1,0,0,0,1,0,1,1,2,0,7,7,1,55,9,10
230,23,21,9,P1 Orasha,0,0,2,1,0,0,0,0,0,1,0,1,0,6,1,3,42,7,10
231,24,17,7,P2 NNStonekeep,0,0,2,2,0,0,0,2,0,1,1,4,0,8,8,0,65,10,10
232,25,17,7,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,6,1,7,45,3,10
233,26,13,5,P2 NNStonekeep,0,0,2,2,0,0,1,3,0,2,1,5,0,8,9,0,75,10,10
234,27,10,2,P1 Orasha,0,0,1,1,0,0,0,0,0,0,1,1,0,7,1,6,49,4,10
235,28,-2,2,P2 NNStonekeep,0,0,1,0,0,1,0,2,0,0,0,2,0,8,9,10,75,0,10
236,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11
237,2,30,28,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,11
238,3,30,28,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11
239,4,30,28,P2 NNStonekeep,0,0,1,1,0,0,0,0,0,0,0,1,0,2,1,0,4,2,11
240,5,30,28,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11
241,6,30,26,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,1,6,2,11
242,7,30,26,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,11
243,8,30,24,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,2,3,2,8,2,11
