,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,30,30,P2 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
4,5,30,28,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,4,2,1
5,6,30,28,P2 Wabeka,0,0,4,4,0,0,0,0,1,1,1,4,0,3,0,0,4,3,1
6,7,30,23,P1 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,0,8,4,1
7,8,24,23,P2 Wabeka,0,0,1,2,0,0,0,3,1,1,1,5,0,4,0,0,8,4,1
8,9,24,3,P1 Wabeka,0,0,1,1,0,0,0,5,0,1,0,6,0,0,0,0,13,5,1
9,10,18,3,P2 Wabeka,0,0,1,1,0,0,0,3,0,1,0,4,0,4,0,0,13,5,1
10,11,18,0,P1 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,6,13,0,1
11,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
12,2,30,30,P2 Wabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
13,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
14,4,27,30,P2 Wabeka,0,0,1,2,0,0,0,1,1,1,1,3,0,2,0,0,4,2,2
15,5,27,27,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,5,3,2
16,6,19,27,P2 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,2,0,0,7,3,2
17,7,19,22,P1 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,0,9,4,2
18,8,10,22,P2 Wabeka,0,0,1,2,0,0,0,2,0,2,0,4,0,2,0,1,10,3,2
19,9,10,7,P1 Wabeka,0,0,1,1,0,0,0,4,1,1,2,5,0,0,0,0,14,5,2
20,10,-1,7,P2 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,0,15,5,2
21,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
22,2,30,30,P2 Wabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,3
23,3,30,27,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,3
24,4,28,27,P2 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,4,2,3
25,5,28,23,P1 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,1,4,2,3
26,6,25,23,P2 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,0,7,3,3
27,7,25,17,P1 Wabeka,0,0,1,1,0,0,0,3,0,1,0,4,0,0,0,1,7,3,3
28,8,17,17,P2 Wabeka,0,0,1,1,0,0,0,3,0,1,0,4,0,1,0,3,8,1,3
29,9,17,4,P1 Wabeka,0,0,1,1,0,0,0,4,0,1,0,5,0,0,0,0,12,5,3
30,10,10,4,P2 Wabeka,0,0,1,1,0,0,0,4,1,1,1,5,0,1,0,0,13,5,3
31,11,10,-3,P1 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,6,12,0,3
32,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
33,2,30,30,P2 Wabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,4
34,3,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4
35,4,25,30,P2 Wabeka,0,0,1,2,0,0,0,1,1,1,1,3,0,2,0,0,4,2,4
36,5,25,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,2,2,4
37,6,22,30,P2 Wabeka,0,0,1,2,0,0,0,1,0,2,0,3,0,2,0,0,7,3,4
38,7,22,30,P1 Wabeka,0,0,1,1,0,0,0,1,1,1,1,2,0,0,0,0,6,4,4
39,8,12,30,P2 Wabeka,0,0,1,1,0,0,0,3,0,1,0,4,0,2,0,0,11,4,4
40,9,12,22,P1 Wabeka,0,0,4,4,0,0,0,2,2,2,2,6,0,2,0,0,11,5,4
41,10,0,22,P2 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,2,0,0,16,5,4
42,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
43,2,30,30,P2 Wabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,5
44,3,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5
45,4,27,30,P2 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,3,1,5
46,5,27,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2,1,1,5
47,6,26,30,P2 Wabeka,0,0,1,1,0,0,0,2,0,1,1,3,0,1,0,1,5,2,5
48,7,26,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,5,4,5
49,8,20,30,P2 Wabeka,0,0,1,1,0,0,0,2,0,0,0,3,0,2,0,0,9,4,5
50,9,20,28,P1 Wabeka,0,0,1,2,0,0,0,2,1,2,3,4,0,0,0,2,8,3,5
51,10,19,28,P2 Wabeka,0,0,1,1,0,0,0,4,3,1,4,5,0,2,0,0,14,5,5
52,11,19,21,P1 Wabeka,0,0,1,3,0,0,0,2,0,3,1,5,0,0,0,0,14,6,5
53,12,9,21,P2 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,1,19,5,5
54,13,9,6,P1 Wabeka,0,0,1,1,0,0,0,3,0,1,0,4,0,0,0,2,19,5,5
55,14,-1,6,P2 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,7,19,0,5
56,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,6
57,2,30,30,P2 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
58,3,30,29,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,6
59,4,30,29,P2 Wabeka,0,0,1,3,0,0,0,0,1,1,1,3,0,2,0,0,3,2,6
60,5,30,24,P1 Wabeka,0,0,1,2,0,0,0,2,0,2,2,4,0,0,0,0,6,3,6
61,6,25,24,P2 Wabeka,0,0,4,3,0,0,0,1,0,2,0,4,0,3,0,0,6,3,6
62,7,25,15,P1 Wabeka,0,0,1,1,0,0,0,3,0,1,0,4,0,0,0,0,10,4,6
63,8,20,15,P2 Wabeka,0,0,1,1,0,0,0,3,0,1,0,4,0,3,0,2,8,2,6
64,9,20,5,P1 Wabeka,0,0,1,1,0,0,0,4,2,1,5,5,0,0,0,0,15,5,6
65,10,18,5,P2 Wabeka,0,0,1,1,0,0,0,1,0,0,0,2,0,4,0,1,12,4,6
66,11,18,-2,P1 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,6,15,0,6
67,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,7
68,2,30,30,P2 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
69,3,30,29,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,7
70,4,30,29,P2 Wabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,3,2,7
71,5,30,26,P1 Wabeka,0,0,4,2,0,0,0,2,1,0,1,4,0,2,0,1,4,2,7
72,6,30,26,P2 Wabeka,0,0,1,1,0,0,0,1,0,1,1,2,0,1,0,1,5,2,7
73,7,30,26,P1 Wabeka,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0,0,8,4,7
74,8,22,26,P2 Wabeka,0,0,1,2,0,0,0,2,1,1,1,4,0,2,0,1,8,3,7
75,9,22,16,P1 Wabeka,0,0,1,2,0,0,0,4,0,2,0,6,0,3,0,0,13,5,7
76,10,11,16,P2 Wabeka,0,0,1,1,0,0,0,5,0,1,0,6,0,2,0,0,13,5,7
77,11,11,2,P1 Wabeka,0,0,1,2,0,0,0,7,2,2,2,9,0,3,0,1,18,5,7
78,12,-2,2,P2 Wabeka,0,0,1,0,0,0,0,3,0,0,0,3,0,2,0,6,13,0,7
79,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
80,2,30,30,P2 Wabeka,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,8
81,3,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8
82,4,28,30,P2 Wabeka,0,0,1,0,0,0,0,2,0,0,0,2,0,1,0,2,2,0,8
83,5,28,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2,1,1,8
84,6,24,30,P2 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,0,5,3,8
85,7,24,29,P1 Wabeka,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0,0,5,4,8
86,8,20,29,P2 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,0,9,4,8
87,9,20,17,P1 Wabeka,0,0,1,2,0,0,0,5,1,1,1,7,0,2,0,0,10,5,8
88,10,3,24,P2 Wabeka,7,0,1,1,0,0,0,5,2,1,2,6,0,1,0,0,14,5,8
89,11,3,22,P1 Wabeka,0,0,1,1,0,0,0,6,2,1,3,7,0,2,0,1,15,5,8
90,12,-1,22,P2 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,6,14,0,8
91,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9
92,2,30,30,P2 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,9
93,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,9
94,4,29,30,P2 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,9
95,5,29,30,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,5,3,9
96,6,26,28,P2 Wabeka,0,0,5,3,0,0,0,1,0,1,0,4,0,2,1,0,5,3,9
97,7,26,26,P1 Wabeka,0,0,1,1,0,0,0,2,0,1,1,3,0,0,0,0,9,4,9
98,8,25,26,P2 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,2,1,0,9,4,9
99,9,30,12,P1 Wabeka,5,0,1,1,0,0,0,4,1,1,1,5,0,0,0,0,14,5,9
100,10,30,18,P2 Wabeka,6,0,1,1,0,0,0,2,1,1,2,3,0,2,1,0,14,5,9
101,11,30,17,P1 Wabeka,0,0,1,2,0,0,0,4,1,2,2,6,0,0,0,0,20,6,9
102,12,25,17,P2 Wabeka,0,0,1,2,0,0,0,1,0,2,0,3,0,2,1,0,20,6,9
103,13,23,7,P1 Wabeka,0,0,1,3,0,0,0,4,1,3,2,7,0,0,0,0,27,7,9
104,14,18,7,P2 Wabeka,0,0,1,2,0,0,0,2,1,1,2,4,0,3,1,1,26,6,9
105,15,18,0,P1 Wabeka,0,0,1,0,0,0,0,3,0,0,0,3,0,0,0,8,27,0,9
106,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10
107,2,30,30,P2 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,10
108,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,10
109,4,28,30,P2 Wabeka,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,0,3,2,10
110,5,26,25,P1 Wabeka,0,0,2,1,0,0,0,1,0,1,0,2,0,0,1,0,5,3,10
111,6,23,25,P2 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,5,2,10
112,7,23,20,P1 Wabeka,0,0,1,1,0,0,0,2,0,0,0,3,0,1,1,0,9,4,10
113,8,14,27,P2 Wabeka,7,0,1,2,0,0,0,2,0,1,0,4,0,2,0,0,10,4,10
114,9,14,23,P1 Wabeka,0,0,1,1,0,0,0,6,3,1,4,7,0,1,1,0,14,5,10
115,10,4,23,P2 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,2,0,0,15,5,10
116,11,4,6,P1 Wabeka,0,0,1,2,0,0,0,4,1,1,1,6,0,2,1,2,18,4,10
117,12,-5,6,P2 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,6,15,0,10
118,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11
119,2,30,30,P2 Wabeka,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,11
120,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,11
121,4,28,30,P2 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,0,4,2,11
122,5,28,30,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,0,5,3,11
123,6,26,30,P2 Wabeka,0,0,1,0,0,0,0,2,1,0,2,2,0,1,0,3,4,0,11
124,7,26,26,P1 Wabeka,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,2,7,2,11
125,8,20,26,P2 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,0,8,4,11
126,9,20,24,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,12,5,11
127,10,5,22,P2 Wabeka,0,0,2,2,0,0,0,4,1,2,1,6,0,1,1,0,13,5,11
128,11,5,13,P1 Wabeka,0,0,1,2,0,0,0,2,0,2,0,4,0,1,0,0,18,6,11
129,12,0,13,P2 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,1,1,1,18,5,11
130,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12
131,2,30,30,P2 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,12
132,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,12
133,4,29,30,P2 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,12
134,5,29,28,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,1,4,2,12
135,6,24,28,P2 Wabeka,0,0,1,2,0,0,0,1,0,1,0,3,0,1,0,0,7,3,12
136,7,22,23,P1 Wabeka,0,0,2,2,0,0,0,2,1,1,2,4,0,1,1,0,8,4,12
137,8,14,23,P2 Wabeka,0,0,1,2,0,0,0,3,1,2,1,5,0,1,0,0,11,4,12
138,9,14,14,P1 Wabeka,0,0,1,1,0,0,0,5,0,1,0,6,0,1,1,1,12,4,12
139,10,2,14,P2 Wabeka,0,0,1,1,0,0,0,3,0,1,0,4,0,1,0,0,16,5,12
140,11,2,0,P1 Wabeka,0,0,1,1,0,0,0,5,1,1,1,6,0,1,1,1,17,5,12
141,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,13
142,2,30,30,P2 Wabeka,0,0,4,3,0,0,0,0,0,1,0,3,0,2,0,0,2,1,13
143,3,30,27,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,13
144,4,28,27,P2 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,0,4,2,13
145,5,28,23,P1 Wabeka,0,0,4,3,0,0,0,2,1,1,1,5,0,2,0,0,5,3,13
146,6,21,23,P2 Wabeka,0,0,1,1,0,0,0,2,1,0,1,3,0,3,0,2,5,1,13
147,7,21,15,P1 Wabeka,0,0,1,1,0,0,0,3,0,1,0,4,0,2,0,0,9,4,13
148,8,15,15,P2 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,3,0,0,9,4,13
149,9,15,-1,P1 Wabeka,0,0,1,1,0,0,0,4,0,1,0,5,0,2,0,0,14,5,13
150,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,14
151,2,30,30,P2 Wabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,14
152,3,30,28,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,14
153,4,26,28,P2 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,3,1,14
154,5,26,24,P1 Wabeka,0,0,1,2,0,0,0,2,0,2,1,4,0,0,0,0,6,3,14
155,6,26,24,P2 Wabeka,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,3,3,0,14
156,7,26,13,P1 Wabeka,0,0,4,4,0,0,0,4,0,3,0,8,0,1,0,0,10,4,14
157,8,26,13,P2 Wabeka,0,0,1,2,0,0,0,0,0,2,1,2,0,1,0,0,7,4,14
158,9,26,3,P1 Wabeka,0,0,1,1,0,0,0,6,2,1,5,7,0,1,0,0,15,5,14
159,10,22,3,P2 Wabeka,0,0,1,2,0,0,0,2,1,1,4,4,0,2,0,0,12,5,14
160,11,22,-1,P1 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,6,15,0,14
161,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15
162,2,30,30,P2 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,15
163,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,15
164,4,29,30,P2 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,15
165,5,29,28,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,5,3,15
166,6,27,28,P2 Wabeka,0,0,1,2,0,0,0,2,0,0,0,4,0,2,0,0,6,3,15
167,7,27,22,P1 Wabeka,0,0,4,3,0,0,0,2,1,1,1,5,0,2,0,0,9,4,15
168,8,15,22,P2 Wabeka,0,0,1,1,0,0,0,6,0,1,0,7,0,2,0,0,10,4,15
169,9,19,12,P1 Wabeka,4,0,1,1,0,0,0,6,0,1,1,7,0,2,0,0,14,5,15
170,10,9,17,P2 Wabeka,5,0,1,1,0,0,0,6,0,1,1,7,0,2,0,0,15,5,15
171,11,9,14,P1 Wabeka,0,0,1,2,0,0,0,5,1,2,2,7,0,2,0,0,20,6,15
172,12,0,19,P2 Wabeka,5,0,1,0,0,0,0,3,0,0,0,3,0,2,0,6,15,0,15
173,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16
174,2,30,30,P2 Wabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,16
175,3,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,16
176,4,27,30,P2 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,3,1,16
177,5,27,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,16
178,6,21,30,P2 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,1,5,2,16
179,7,21,30,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,6,3,16
180,8,13,30,P2 Wabeka,0,0,1,1,0,0,0,3,0,0,1,4,0,2,0,0,9,4,16
181,9,17,26,P1 Wabeka,4,0,1,1,0,0,0,3,1,1,2,4,0,0,0,0,11,5,16
182,10,14,26,P2 Wabeka,0,0,1,1,0,0,0,6,1,1,2,7,0,2,0,0,14,5,16
183,11,14,23,P1 Wabeka,0,0,1,3,0,0,0,1,1,2,1,4,0,1,0,1,16,5,16
184,12,0,23,P2 Wabeka,0,0,1,0,0,0,0,4,0,0,0,4,0,2,0,6,14,0,16
185,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,17
186,2,30,30,P2 Wabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,17
187,3,30,27,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,17
188,4,26,27,P2 Wabeka,0,0,1,1,0,0,0,1,0,1,1,2,0,1,0,1,3,1,17
189,5,26,26,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,4,2,17
190,6,20,26,P2 Wabeka,0,0,4,2,0,0,0,2,0,1,0,4,0,2,0,1,5,2,17
191,7,20,23,P1 Wabeka,0,0,1,1,0,0,0,2,0,1,2,3,0,0,0,0,8,4,17
192,8,18,23,P2 Wabeka,0,0,1,1,0,0,0,1,0,0,2,2,0,3,0,0,9,4,17
193,9,24,16,P1 Wabeka,6,0,1,1,0,0,0,2,0,1,0,3,0,0,0,0,13,5,17
194,10,17,16,P2 Wabeka,0,0,1,1,0,0,0,6,0,1,0,7,0,3,0,0,14,5,17
195,11,23,12,P1 Wabeka,6,0,1,1,0,0,0,3,0,1,1,4,0,0,0,1,18,5,17
196,12,22,12,P2 Wabeka,0,0,1,2,0,0,0,5,1,2,1,7,0,3,0,1,19,5,17
197,13,28,0,P1 Wabeka,6,0,1,0,0,0,0,3,0,0,0,3,0,0,0,7,18,0,17
198,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,18
199,2,30,30,P2 Wabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,18
200,3,30,29,P1 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,18
201,4,30,29,P2 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,3,1,18
202,5,30,25,P1 Wabeka,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,1,3,2,18
203,6,25,25,P2 Wabeka,0,0,1,1,0,0,0,2,1,1,2,3,0,1,0,2,4,1,18
204,7,25,25,P1 Wabeka,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,7,4,18
205,8,18,25,P2 Wabeka,0,0,1,1,0,0,0,3,0,0,0,4,0,2,0,0,8,4,18
206,9,21,21,P1 Wabeka,3,0,1,1,0,0,0,5,0,1,1,6,0,2,0,0,12,5,18
207,10,16,21,P2 Wabeka,0,0,1,1,0,0,0,6,1,1,2,7,0,2,0,0,13,5,18
208,11,16,15,P1 Wabeka,0,0,1,2,0,0,0,4,0,2,0,6,0,2,0,0,18,6,18
209,12,-1,15,P2 Wabeka,0,0,1,1,0,0,0,5,1,0,1,6,0,3,0,5,14,1,18
210,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,19
211,2,30,30,P2 Wabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,19
212,3,30,26,P1 Wabeka,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,0,3,2,19
213,4,25,26,P2 Wabeka,0,0,4,2,0,0,0,1,0,1,0,3,0,2,0,0,4,2,19
214,5,25,24,P1 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,3,3,0,19
215,6,18,24,P2 Wabeka,0,0,1,2,0,0,0,2,1,1,1,4,0,3,0,0,7,3,19
216,7,18,21,P1 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,4,3,0,19
217,8,7,21,P2 Wabeka,0,0,1,1,0,0,0,5,0,1,0,6,0,3,0,0,11,4,19
218,9,7,13,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,8,5,19
219,10,0,13,P2 Wabeka,0,0,1,0,0,0,0,2,0,0,0,2,0,3,0,5,11,0,19
220,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,20
221,2,30,30,P2 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,20
222,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,1,1,1,1,2,0,0,0,1,2,1,20
223,4,30,28,P2 Wabeka,0,0,2,2,0,0,0,1,0,1,1,3,0,1,1,0,4,2,20
224,5,30,28,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,20
225,6,26,28,P2 Wabeka,0,0,1,2,0,0,0,2,0,2,0,4,0,1,1,0,7,3,20
226,7,26,28,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,5,3,20
227,8,17,28,P2 Wabeka,0,0,1,1,0,0,0,4,0,1,0,5,0,1,1,1,10,3,20
228,9,17,28,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,0,10,5,20
229,10,5,28,P2 Wabeka,0,0,1,2,0,0,0,3,1,1,1,5,0,2,1,0,15,5,20
230,11,5,15,P1 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,1,15,5,20
231,12,0,15,P2 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,2,1,6,15,0,20
232,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21
233,2,30,30,P2 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21
234,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,21
235,4,30,30,P2 Wabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,3,2,21
236,5,30,28,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,5,3,21
237,6,29,28,P2 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,2,4,1,21
238,7,29,25,P1 Wabeka,0,0,1,2,0,0,0,2,1,1,2,4,0,1,0,0,9,4,21
239,8,27,25,P2 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,8,4,21
240,9,30,15,P1 Wabeka,3,0,1,1,0,0,0,4,0,1,0,5,0,1,0,0,14,5,21
241,10,21,15,P2 Wabeka,0,0,4,3,0,0,0,4,2,2,3,7,0,2,0,1,12,4,21
242,11,21,7,P1 Wabeka,0,0,1,1,0,0,0,3,0,1,0,4,0,1,0,2,18,4,21
243,12,7,7,P2 Wabeka,0,0,1,1,0,0,0,3,0,1,0,4,0,2,0,1,17,5,21
244,13,7,0,P1 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,2,23,5,21
245,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,22
