,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,30,30,P2 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
4,5,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
5,6,30,30,P2 Stonekeep,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,4,3,1
6,7,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,1
7,8,30,30,P2 Stonekeep,0,0,1,1,0,0,0,1,0,0,1,2,0,2,0,1,7,3,1
8,9,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,8,4,1
9,10,26,30,P2 Stonekeep,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,0,12,5,1
10,11,26,30,P1 Slage,0,0,1,2,0,0,0,1,1,1,3,3,0,1,0,0,14,6,1
11,12,26,30,P2 Stonekeep,0,0,1,1,0,0,0,0,0,0,1,1,0,3,0,0,18,6,1
12,13,26,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,21,7,1
13,14,26,30,P2 Stonekeep,0,0,1,2,0,0,0,0,0,2,1,2,0,3,0,0,25,7,1
14,15,26,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8,21,0,1
15,16,26,30,P2 Stonekeep,0,0,1,1,0,0,0,0,2,1,2,1,0,3,0,4,29,4,1
16,17,26,30,P1 Slage,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,0,30,9,1
17,18,26,30,P2 Stonekeep,0,0,1,2,0,0,0,1,0,1,2,3,0,4,0,1,37,8,1
18,19,26,30,P1 Slage,0,0,2,3,0,0,0,0,0,3,0,3,0,1,0,0,40,10,1
19,20,26,30,P2 Stonekeep,0,0,1,2,0,0,0,2,1,1,6,4,0,5,0,1,46,9,1
20,21,26,30,P1 Slage,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,0,50,10,1
21,22,24,30,P2 Stonekeep,0,0,1,0,0,0,0,4,0,0,2,4,0,5,0,10,46,0,1
22,23,24,30,P1 Slage,0,0,1,3,0,0,0,0,0,3,0,3,0,1,0,1,59,9,1
23,24,10,30,P2 Stonekeep,0,0,2,2,0,0,0,4,1,1,3,6,0,6,0,3,53,7,1
24,25,10,22,P1 Slage,0,0,2,2,0,0,0,1,0,1,1,3,0,2,0,0,69,10,1
