,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Viper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,27,30,P2 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,4,2,1
4,5,30,30,P1 Stonekeep,3,0,3,1,0,0,0,0,0,0,0,1,0,1,0,0,3,3,1
5,6,24,30,P2 Viper,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,1,6,2,1
6,7,24,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,7,4,1
7,8,13,30,P2 Viper,0,0,1,1,0,0,0,3,0,0,0,4,0,2,0,0,10,4,1
8,9,13,30,P1 Stonekeep,0,0,1,1,0,0,0,1,0,1,1,2,0,1,0,0,12,5,1
9,10,2,30,P2 Viper,0,0,1,2,0,0,0,6,1,2,1,8,0,2,0,1,14,4,1
10,11,2,26,P1 Stonekeep,0,0,1,1,0,0,0,2,0,1,5,3,0,1,0,0,18,6,1
11,12,-6,26,P2 Viper,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,6,14,0,1
12,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
13,2,30,30,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
14,3,30,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
15,4,26,30,P2 Viper,0,0,4,4,0,0,0,1,1,1,1,5,0,3,0,0,4,2,2
16,5,26,30,P1 Stonekeep,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,3,2,0,2
17,6,26,30,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,2,5,1,2
18,7,26,30,P1 Stonekeep,0,0,2,1,0,0,0,0,0,0,1,1,0,1,0,3,3,1,2
19,8,26,30,P2 Viper,0,0,1,1,0,0,0,0,0,0,0,1,0,4,0,0,9,4,2
20,9,23,27,P1 Stonekeep,0,0,1,1,0,0,0,0,0,0,4,1,0,2,0,1,7,4,2
21,10,23,27,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,4,0,3,11,2,2
22,11,23,27,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,1,1,0,2,0,0,13,6,2
23,12,23,27,P2 Viper,0,0,1,1,0,0,0,0,0,0,0,1,0,5,0,2,15,4,2
24,13,23,25,P1 Stonekeep,0,0,1,1,0,0,0,1,0,1,4,2,0,2,0,0,20,7,2
25,14,23,25,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,5,0,6,16,1,2
26,15,23,21,P1 Stonekeep,0,0,2,2,0,0,1,2,0,1,2,4,0,3,0,1,27,7,2
27,16,23,21,P2 Viper,0,0,1,2,0,0,0,0,0,2,0,2,0,5,0,0,24,8,2
28,17,23,7,P1 Stonekeep,0,0,1,2,0,1,0,3,0,1,2,5,0,4,0,1,35,8,2
29,18,23,7,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,5,0,3,30,6,2
30,19,23,-1,P1 Stonekeep,0,0,1,0,0,0,0,1,0,0,0,1,0,4,0,10,35,0,2
31,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
32,2,30,30,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
33,3,30,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,3
34,4,29,30,P2 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,3
35,5,29,30,P1 Stonekeep,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,3,2,0,3
36,6,27,30,P2 Viper,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,1,4,2,3
37,7,27,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,3
38,8,25,30,P2 Viper,0,0,1,1,0,0,0,1,0,0,0,2,0,2,0,0,8,4,3
39,9,25,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,7,5,3
40,10,19,30,P2 Viper,0,0,1,3,0,0,0,5,0,2,0,8,0,3,0,0,14,5,3
41,11,19,26,P1 Stonekeep,0,0,1,1,0,0,0,1,0,1,6,2,0,0,0,0,13,6,3
42,12,9,26,P2 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,3,0,5,15,1,3
43,13,12,22,P1 Stonekeep,3,0,1,1,0,0,0,2,0,0,2,3,0,1,0,1,19,6,3
44,14,10,20,P2 Viper,0,0,2,3,0,0,0,0,1,2,1,3,0,4,1,0,22,7,3
45,15,10,15,P1 Stonekeep,0,0,1,1,0,0,0,2,1,1,5,3,0,1,0,1,26,7,3
46,16,10,15,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,4,1,4,26,4,3
47,17,13,6,P1 Stonekeep,3,0,1,2,0,0,0,2,0,1,1,4,0,2,0,1,34,8,3
48,18,13,6,P2 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,9,26,0,3
49,19,15,6,P1 Stonekeep,4,0,4,2,0,0,0,0,3,1,3,2,0,3,1,1,43,9,3
50,20,12,4,P2 Viper,0,0,5,4,0,0,0,0,0,2,0,4,0,6,2,0,36,10,3
51,21,12,0,P1 Stonekeep,0,0,1,0,0,0,0,1,0,0,0,1,0,3,1,10,43,0,3
52,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
53,2,30,30,P2 Viper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,4
54,3,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4
55,4,30,30,P2 Viper,0,0,1,1,0,0,0,0,1,0,1,1,0,2,0,1,3,1,4
56,5,30,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,3,3,4
57,6,27,30,P2 Viper,0,0,1,2,0,0,0,2,0,2,0,4,0,2,0,0,6,3,4
58,7,27,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,7,4,4
59,8,20,30,P2 Viper,0,0,1,1,0,0,0,4,0,1,0,5,0,2,0,1,9,3,4
60,9,20,26,P1 Stonekeep,0,0,1,1,0,0,0,1,1,0,8,2,0,2,0,1,11,4,4
61,10,20,26,P2 Viper,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0,1,13,4,4
62,11,20,26,P1 Stonekeep,0,0,2,2,0,0,0,0,0,1,1,2,0,3,0,0,17,6,4
63,12,13,26,P2 Viper,0,0,1,2,0,0,0,3,0,2,0,5,0,3,0,0,19,6,4
64,13,20,26,P1 Stonekeep,7,0,1,1,0,0,0,1,0,0,2,2,0,4,0,1,23,6,4
65,14,13,26,P2 Viper,0,0,1,2,0,0,0,3,0,2,0,5,0,3,0,1,25,6,4
66,15,13,22,P1 Stonekeep,0,0,1,1,0,0,0,1,1,0,8,2,0,5,0,0,31,8,4
67,16,13,22,P2 Viper,0,0,4,3,0,0,0,0,0,1,0,3,0,5,0,2,31,6,4
68,17,8,19,P1 Stonekeep,0,0,2,2,0,0,0,0,0,1,5,2,0,6,1,1,39,8,4
69,18,7,19,P2 Viper,0,0,1,0,0,0,0,1,0,0,0,1,0,5,0,9,31,0,4
70,19,7,19,P1 Stonekeep,0,0,1,1,0,0,0,0,1,1,2,1,0,6,1,5,44,5,4
71,20,7,19,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,5,0,1,40,9,4
72,21,10,15,P1 Stonekeep,3,0,1,1,0,0,0,1,0,0,1,2,0,7,1,4,50,6,4
73,22,10,15,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,5,0,8,42,2,4
74,23,10,11,P1 Stonekeep,0,0,1,1,0,0,0,1,0,1,1,2,0,7,1,4,56,6,4
75,24,10,11,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,5,0,9,43,1,4
76,25,15,4,P1 Stonekeep,0,0,1,1,0,0,0,2,0,1,1,4,0,7,1,1,65,9,4
77,26,15,4,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,5,0,8,45,2,4
78,27,15,0,P1 Stonekeep,0,0,1,0,0,0,0,1,0,0,0,1,0,7,1,10,65,0,4
79,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
80,2,30,30,P2 Viper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,5
81,3,30,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,5
82,4,25,30,P2 Viper,0,0,1,2,0,0,0,1,1,1,1,3,0,2,0,0,4,2,5
83,5,25,30,P1 Stonekeep,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,3,2,0,5
84,6,25,30,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,1,6,2,5
85,7,25,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,6,4,5
86,8,20,30,P2 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,1,9,3,5
87,9,17,23,P1 Stonekeep,0,0,1,1,0,0,0,1,0,0,4,2,0,1,0,1,10,4,5
88,10,17,23,P2 Viper,0,0,4,4,0,0,0,0,0,3,0,4,0,3,0,1,13,4,5
89,11,20,19,P1 Stonekeep,3,0,1,1,0,0,0,1,0,0,1,2,0,2,0,0,16,6,5
90,12,18,19,P2 Viper,0,0,1,1,0,0,0,2,0,1,0,3,0,3,0,5,14,1,5
91,13,18,15,P1 Stonekeep,0,0,1,1,0,0,0,1,1,1,5,2,0,2,0,0,23,7,5
92,14,18,15,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,4,17,3,5
93,15,18,15,P1 Stonekeep,0,0,1,2,0,0,0,1,0,2,1,3,0,2,0,1,30,7,5
94,16,13,15,P2 Viper,0,0,1,3,0,0,0,2,1,2,1,5,0,4,0,0,25,8,5
95,17,13,15,P1 Stonekeep,0,0,1,1,0,0,0,0,3,1,9,1,0,2,0,2,37,7,5
96,18,13,15,P2 Viper,0,0,1,1,0,0,0,0,0,0,0,1,0,5,0,5,29,4,5
97,19,11,11,P1 Stonekeep,0,0,2,1,0,0,0,1,0,1,4,2,0,2,1,2,45,8,5
98,20,11,11,P2 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,10,29,0,5
99,21,19,5,P1 Stonekeep,8,0,3,2,0,0,1,2,0,1,0,4,0,3,1,0,55,10,5
100,22,19,5,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,5,0,6,33,4,5
101,23,19,-3,P1 Stonekeep,0,0,1,0,0,1,0,1,0,0,0,1,0,3,1,10,55,0,5
102,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
103,2,30,30,P2 Viper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,6
104,3,30,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,6
105,4,26,30,P2 Viper,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,4,2,6
106,5,26,30,P1 Stonekeep,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,3,2,0,6
107,6,24,30,P2 Viper,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,7,3,6
108,7,24,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,6
109,8,16,30,P2 Viper,0,0,1,1,0,0,0,3,0,0,0,4,0,2,0,0,11,4,6
110,9,16,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,7,5,6
111,10,7,30,P2 Viper,0,0,1,1,0,0,0,7,1,1,2,8,0,2,0,1,15,4,6
112,11,11,30,P1 Stonekeep,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,6
113,12,0,30,P2 Viper,0,0,1,0,0,0,0,7,0,0,0,7,0,2,0,6,15,0,6
114,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
115,2,30,30,P2 Viper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,7
116,3,30,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,7
117,4,30,30,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,4,2,7
118,5,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,3,2,0,7
119,6,16,30,P2 Viper,0,0,1,2,0,0,0,6,1,1,1,8,0,2,0,1,6,2,7
120,7,16,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,6,4,7
121,8,2,30,P2 Viper,0,0,1,1,0,0,0,6,0,1,0,7,0,2,0,0,10,4,7
122,9,2,30,P1 Stonekeep,0,0,1,1,0,0,0,0,1,0,8,1,0,1,0,1,10,4,7
123,10,2,30,P2 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,5,10,0,7
124,11,2,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,15,5,7
125,12,2,30,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,5,11,1,7
126,13,10,26,P1 Stonekeep,8,0,3,2,0,0,0,1,0,1,0,3,0,2,0,0,22,7,7
127,14,8,26,P2 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,5,13,2,7
128,15,11,22,P1 Stonekeep,3,0,1,1,0,0,0,2,0,0,2,3,0,3,0,2,28,6,7
129,16,11,22,P2 Viper,0,0,1,2,0,0,0,0,0,1,0,2,0,3,0,0,21,8,7
130,17,11,18,P1 Stonekeep,0,0,1,2,0,0,0,2,2,1,7,4,0,4,0,0,37,9,7
131,18,11,18,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,6,24,3,7
132,19,14,14,P1 Stonekeep,3,0,1,1,0,0,0,1,0,0,1,2,0,5,0,4,43,6,7
133,20,14,14,P2 Viper,0,0,4,4,0,0,0,0,0,3,0,4,0,4,0,0,34,10,7
134,21,14,14,P1 Stonekeep,0,0,1,1,0,0,0,1,1,1,8,2,0,5,0,3,50,7,7
135,22,14,14,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,4,0,9,35,1,7
136,23,14,14,P1 Stonekeep,0,0,2,2,0,0,1,1,0,1,2,3,0,6,0,0,60,10,7
137,24,14,14,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,4,0,9,36,1,7
138,25,12,2,P1 Stonekeep,0,0,2,1,0,1,0,2,0,1,1,3,0,6,1,2,68,8,7
139,26,12,2,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,4,0,9,37,1,7
140,27,12,0,P1 Stonekeep,0,0,1,0,0,0,0,1,0,0,0,1,0,6,1,10,68,0,7
141,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
142,2,30,30,P2 Viper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,8
143,3,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8
144,4,26,30,P2 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,4,2,8
145,5,26,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8
146,6,18,30,P2 Viper,0,0,1,2,0,0,0,2,0,2,0,4,0,1,0,0,7,3,8
147,7,15,27,P1 Stonekeep,0,0,1,1,0,0,0,0,0,0,4,1,0,1,0,0,4,4,8
148,8,15,27,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,10,3,8
149,9,15,27,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,4,0,8
150,10,9,27,P2 Viper,0,0,1,2,0,0,0,3,0,2,0,5,0,1,0,0,15,5,8
151,11,9,27,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,4,1,0,1,0,0,10,6,8
152,12,6,27,P2 Viper,0,0,1,1,0,0,0,1,0,0,0,2,0,2,0,2,19,4,8
153,13,6,25,P1 Stonekeep,0,0,1,1,0,0,0,1,0,1,5,2,0,1,0,0,17,7,8
154,14,6,25,P2 Viper,0,0,1,2,0,0,0,0,0,1,0,2,0,3,0,0,26,7,8
155,15,6,25,P1 Stonekeep,0,0,3,3,0,0,1,2,0,1,4,5,0,3,0,0,25,8,8
156,16,5,25,P2 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,3,0,7,27,1,8
157,17,5,11,P1 Stonekeep,0,0,1,2,0,1,0,3,1,1,4,5,0,4,0,0,34,9,8
158,18,5,11,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,2,34,7,8
159,19,5,-1,P1 Stonekeep,0,0,1,0,0,0,0,2,0,0,0,2,0,4,0,10,34,0,8
160,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9
161,2,30,30,P2 Viper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,9
162,3,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9
163,4,22,30,P2 Viper,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,4,2,9
164,5,22,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,2,2,9
165,6,18,30,P2 Viper,0,0,1,1,0,0,0,3,0,1,0,4,0,1,0,2,5,1,9
166,7,18,30,P1 Stonekeep,0,0,1,1,0,0,0,0,1,1,5,1,0,0,0,0,6,4,9
167,8,18,30,P2 Viper,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,9,4,9
168,9,15,23,P1 Stonekeep,0,0,1,1,0,0,0,1,0,0,4,2,0,1,0,1,10,4,9
169,10,15,23,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,1,13,4,9
170,11,15,23,P1 Stonekeep,0,0,1,1,0,0,0,1,0,1,1,2,0,1,0,0,16,6,9
171,12,15,23,P2 Viper,0,0,1,2,0,0,0,0,0,2,0,2,0,2,0,3,16,3,9
172,13,15,15,P1 Stonekeep,0,0,1,1,0,0,0,2,0,1,2,3,0,1,0,1,22,6,9
173,14,15,15,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,6,17,1,9
174,15,15,7,P1 Stonekeep,0,0,2,2,0,0,1,3,0,1,1,5,0,2,0,0,30,8,9
175,16,15,7,P2 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,8,17,0,9
176,17,15,-1,P1 Stonekeep,0,0,1,0,0,1,0,1,0,0,0,1,0,2,0,9,30,0,9
177,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10
178,2,30,30,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,10
179,3,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10
180,4,29,30,P2 Viper,0,0,1,2,0,0,0,1,0,1,0,3,0,1,0,0,4,2,10
181,5,29,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10
182,6,25,30,P2 Viper,0,0,1,2,0,0,0,2,1,1,1,4,0,2,0,0,7,3,10
183,7,25,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,10
184,8,16,30,P2 Viper,0,0,1,1,0,0,0,5,0,1,0,6,0,2,0,0,11,4,10
185,9,16,30,P1 Stonekeep,0,0,1,1,0,0,0,1,1,0,7,2,0,1,0,1,8,4,10
186,10,16,30,P2 Viper,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0,1,15,4,10
187,11,16,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,4,1,0,1,0,0,14,6,10
188,12,15,30,P2 Viper,0,0,1,3,0,0,0,0,0,3,0,3,0,3,0,0,21,6,10
189,13,19,30,P1 Stonekeep,4,0,3,2,0,0,0,1,0,0,2,3,0,3,0,1,20,6,10
190,14,18,30,P2 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,3,0,5,23,2,10
191,15,18,30,P1 Stonekeep,0,0,1,1,0,0,0,1,0,1,1,2,0,3,0,3,25,5,10
192,16,18,30,P2 Viper,0,0,1,2,0,0,0,0,0,2,0,2,0,3,0,0,31,8,10
193,17,15,23,P1 Stonekeep,0,0,2,3,0,0,0,2,1,1,6,5,0,5,0,0,34,9,10
194,18,7,23,P2 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,3,0,8,32,1,10
195,19,10,19,P1 Stonekeep,3,0,1,1,0,0,0,2,0,0,2,3,0,6,0,4,40,6,10
196,20,10,19,P2 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,10,32,0,10
197,21,10,11,P1 Stonekeep,0,0,1,2,0,0,0,2,0,2,0,4,0,6,0,0,50,10,10
198,22,10,11,P2 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,10,32,0,10
199,23,10,-1,P1 Stonekeep,0,0,1,0,0,0,0,3,0,0,0,3,0,6,0,10,50,0,10
200,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11
201,2,30,30,P2 Viper,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,11
202,3,30,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,11
203,4,26,30,P2 Viper,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,0,4,2,11
204,5,30,30,P1 Stonekeep,4,0,3,1,0,0,0,0,1,0,4,1,0,1,0,0,5,3,11
205,6,29,30,P2 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,6,2,11
206,7,29,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,5,0,11
207,8,23,30,P2 Viper,0,0,4,2,0,0,0,2,0,1,0,4,0,2,0,0,10,4,11
208,9,23,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,10,5,11
209,10,16,30,P2 Viper,0,0,1,1,0,0,0,5,0,1,0,6,0,2,0,1,14,4,11
210,11,16,26,P1 Stonekeep,0,0,1,1,0,0,0,1,1,0,6,2,0,2,0,2,14,4,11
211,12,7,26,P2 Viper,0,0,1,2,0,0,0,1,0,2,0,3,0,2,0,1,19,5,11
212,13,7,26,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,1,1,0,2,0,2,19,5,11
213,14,2,26,P2 Viper,0,0,1,1,0,0,0,2,1,0,1,3,0,3,0,6,20,1,11
214,15,2,21,P1 Stonekeep,0,0,2,2,0,0,0,1,0,1,1,3,0,3,0,0,27,8,11
215,16,2,21,P2 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,8,20,0,11
216,17,15,9,P1 Stonekeep,0,0,1,1,0,0,0,2,0,1,0,4,0,3,0,0,36,9,11
217,18,15,9,P2 Viper,0,0,1,1,0,0,0,0,0,0,0,1,0,4,0,5,24,4,11
218,19,15,0,P1 Stonekeep,0,0,1,0,0,0,0,2,0,0,0,2,0,3,0,10,36,0,11
219,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12
220,2,30,30,P2 Viper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,12
221,3,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12
222,4,27,30,P2 Viper,0,0,1,2,0,0,0,1,1,1,1,3,0,2,0,0,4,2,12
223,5,27,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,3,3,12
224,6,27,30,P2 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,4,0,12
225,7,30,30,P1 Stonekeep,3,0,3,1,0,0,0,0,0,0,0,1,0,2,0,1,6,3,12
226,8,30,30,P2 Viper,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0,0,8,4,12
227,9,27,27,P1 Stonekeep,0,0,1,1,0,0,0,0,0,0,4,1,0,3,0,1,10,4,12
228,10,27,27,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,4,9,1,12
229,11,27,27,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,1,1,0,3,0,0,16,6,12
230,12,27,27,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,3,12,3,12
231,13,27,27,P1 Stonekeep,0,0,1,1,0,0,1,1,0,1,1,2,0,3,0,1,22,6,12
232,14,22,27,P2 Viper,0,0,4,4,0,0,0,2,1,2,1,6,0,5,0,0,19,7,12
233,15,22,15,P1 Stonekeep,0,0,1,1,0,1,0,2,1,0,7,3,0,4,0,4,26,4,12
234,16,22,15,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,5,0,5,22,3,12
235,17,23,12,P1 Stonekeep,3,0,2,1,0,0,0,1,0,0,1,2,0,5,1,1,34,8,12
236,18,23,12,P2 Viper,0,0,1,2,0,0,0,0,0,2,0,2,0,5,0,0,31,9,12
237,19,23,12,P1 Stonekeep,0,0,1,1,0,0,0,1,1,1,4,2,0,5,1,3,41,7,12
238,20,23,12,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,5,0,8,33,2,12
239,21,21,12,P1 Stonekeep,0,0,2,1,0,0,0,1,0,1,1,2,0,5,2,3,48,7,12
240,22,21,12,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,5,0,9,34,1,12
241,23,21,0,P1 Stonekeep,0,0,1,0,0,0,0,3,0,0,0,3,0,5,2,10,48,0,12
242,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13
243,2,30,30,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,13
244,3,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13
245,4,28,30,P2 Viper,0,0,1,3,0,0,0,1,1,1,1,4,0,2,0,0,4,2,13
246,5,28,30,P1 Stonekeep,0,0,2,1,0,0,0,0,0,0,1,1,0,1,0,2,1,1,13
247,6,24,30,P2 Viper,0,0,1,1,0,0,0,3,0,1,0,4,0,2,0,0,7,3,13
